Account,AccountDesc,TransDesc,Debit,Credit,Period,JnlNo,JnlDesc,Amount,JnlPrep,JnlAuth,JnlDateTime
00-80-8043,Tax Control,XXX,19763.35,0.00,2019-7,253,,19763.35,DF18,AM04,01/07/2019 16:44
00-80-8044,Tax Input,XZZX,0.00,19763.35,2019-7,253,,-19763.35,DF18,AM04,01/07/2019 16:44
00-80-8043,Tax Control,XXX,0.00,22956.90,2019-7,253,,-22956.90,DF18,AM04,01/07/2019 16:44
00-80-8045,Tax Output,ZZXXZ,22956.90,0.00,2019-7,253,,22956.90,DF18,AM04,01/07/2019 16:44
00-80-8045,Tax Output,ZZXXZ,40240.30,0.00,2019-7,253,,40240.30,DF18,AM04,01/07/2019 16:44
00-80-8043,Tax Control,XXX,0.00,40240.30,2019-7,253,,-40240.30,DF18,AM04,01/07/2019 16:44
00-80-8044,Tax Input,XZZX,0.00,265677.50,2019-7,253,,-265677.50,DF18,AM04,01/07/2019 16:44
00-80-8043,Tax Control,XXX,265677.50,0.00,2019-7,253,,265677.50,DF18,AM04,01/07/2019 16:44
00-80-8048,Expenses Control Account,296,0.00,631.68,2019-7,254,,-631.68,CH20,SP18,01/07/2019 15:10
00-70-7021,Discounts - Sales,296,631.68,0.00,2019-7,254,,631.68,CH20,SP18,01/07/2019 15:10
00-20-2004,Provision for Obselete Inventory,1212,24839.41,0.00,2019-7,255,Reverses Jnl 2019-3 Journal No. 285,24839.41,DF18,AM04,01/07/2019 16:55
00-80-8028,Provisions - Stock Write-downs,XZX,0.00,24839.41,2019-7,255,Reverses Jnl 2019-3 Journal No. 285,-24839.41,DF18,AM04,01/07/2019 16:55
00-80-8033,Provision for Sales Schemes,ZZX,281028.20,0.00,2019-7,256,Reverses Jnl 2019-3 Journal No. 291,281028.20,AM04,AS13,01/07/2019 14:57
00-10-1002,Provisions - Trade Sales,XXX,0.00,281028.20,2019-7,256,Reverses Jnl 2019-3 Journal No. 291,-281028.20,AM04,AS13,01/07/2019 14:57
00-80-8033,Provision for Sales Schemes,ZZX,328166.87,0.00,2019-7,256,Reverses Jnl 2019-3 Journal No. 291,328166.87,AM04,AS13,01/07/2019 14:57
00-10-1001,Trade Sale Recycle Scheme,ZZZ,0.00,328166.87,2019-7,256,Reverses Jnl 2019-3 Journal No. 291,-328166.87,AM04,AS13,01/07/2019 14:57
00-70-7026,Bank Fees,168,10.12,0.00,2019-7,257,,10.12,GL06,CH20,01/07/2019 14:03
00-80-8041,Cash Account,CVCVCV,447.25,0.00,2019-7,257,,447.25,GL06,CH20,01/07/2019 14:03
00-80-8048,Expenses Control Account,168,0.00,457.37,2019-7,257,,-457.37,GL06,CH20,01/07/2019 14:03
00-80-8034,Forex Pending,302,55.63,0.00,2019-7,258,,55.63,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,302,0.00,55.63,2019-7,258,,-55.63,JC39,CH20,10/07/2019 19:41
00-80-8034,Forex Pending,853,0.00,47.12,2019-7,258,,-47.12,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,853,47.12,0.00,2019-7,258,,47.12,JC39,CH20,10/07/2019 19:41
00-70-7023,Forex - Realised Diff,1221,47.12,0.00,2019-7,258,,47.12,JC39,CH20,10/07/2019 19:41
00-80-8034,Forex Pending,1221,0.00,47.12,2019-7,258,,-47.12,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,1205,0.00,36.12,2019-7,258,,-36.12,JC39,CH20,10/07/2019 19:41
00-80-8034,Forex Pending,1205,36.12,0.00,2019-7,258,,36.12,JC39,CH20,10/07/2019 19:41
00-80-8040,Forex Holding Account,123,155.26,0.00,2019-7,258,,155.26,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,123,0.00,155.26,2019-7,258,,-155.26,JC39,CH20,10/07/2019 19:41
00-80-8039,Forex Holding Account,447,0.00,909.50,2019-7,258,,-909.50,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,447,909.50,0.00,2019-7,258,,909.50,JC39,CH20,10/07/2019 19:41
00-80-8037,Forex Holding Account,849,0.00,8684.17,2019-7,258,,-8684.17,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,849,8684.17,0.00,2019-7,258,,8684.17,JC39,CH20,10/07/2019 19:41
00-80-8038,Forex Holding Account,301,0.00,10248.25,2019-7,258,,-10248.25,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,301,10248.25,0.00,2019-7,258,,10248.25,JC39,CH20,10/07/2019 19:41
00-80-8036,Forex Holding Account,1208,0.00,12110.24,2019-7,258,,-12110.24,JC39,CH20,10/07/2019 19:41
